,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
2,193998,45781635,13,-1,100.921,37.9288,-1.10326,93.5158,1.63397,-0.029079,-13,1,38.7062,-17.3913,9.54789,33.2346,1.28815,2.63951,-13,1,39.5428,-19.554,-0.724217,34.3618,1.32891,-3.10457,13,-1,16.7712,-8.70548,-0.312269,14.331,1.27267,-3.10574,86.591731,55.103771,6.994068
4,194027,65059010,13,-1,100.639,26.9328,-48.6187,-83.8991,-1.20003,-1.06492,-13,1,24.6255,-12.4035,19.2987,8.95086,0.380892,2.14203,-13,1,13.3442,-9.68775,-4.5899,-7.9459,-0.686107,-2.69914,13,-1,10.0326,-6.9671,-4.24046,-5.84122,-0.66587,-2.59484,112.961516,37.790462,24.280513
10,194050,1418885795,-13,1,10.48,9.83429,-1.02873,3.47091,0.344188,-0.104227,13,-1,10.179,9.26634,1.86165,3.77769,0.389749,0.198265,-13,1,36.0343,2.97715,-8.17004,34.9692,2.09991,-1.22135,13,-1,9.90998,2.89375,2.92113,9.01608,1.52665,0.790107,34.176134,20.909034,8.315275
16,194050,327605399,-11,1,62.4877,-24.483,-41.4983,-39.7893,-0.752696,-2.10381,11,-1,21.5719,1.87631,20.8534,-5.19243,-0.245521,1.48106,-11,1,11.084,9.67351,3.72888,3.92082,0.36971,0.367921,11,-1,6.94142,6.10657,2.20266,2.45793,0.370119,0.346178,93.102501,49.803585,14.499091
17,194050,401484983,11,-1,92.7438,84.7255,-8.66554,36.7138,0.418733,-0.101923,-11,1,67.6137,-38.0564,46.988,30.2564,0.481556,2.25155,-11,1,39.3087,-18.0245,-29.8755,18.1039,0.498017,-2.11366,11,-1,93.0414,-1.96028,-20.2253,90.7953,2.20244,-1.66742,232.157083,102.824159,75.204893
19,194050,519488427,13,-1,302.973,63.1587,-11.9003,-296.077,-2.23225,-0.186236,-13,1,126.962,-37.016,22.2813,-119.384,-1.74079,2.59975,11,-1,295.937,-67.2469,26.2261,-287,-2.08891,2.76974,-11,1,112.451,20.3354,-23.4654,-108.079,-1.96041,-0.856736,212.617764,106.981567,92.114233
20,194050,59331872,13,-1,56.6742,-40.1619,32.1253,23.8106,0.447852,2.46692,-13,1,36.45,-17.7381,-31.8368,-0.610573,-0.016753,-2.07912,11,-1,29.561,-19.6651,21.9321,2.47351,0.083871,2.30175,-11,1,12.2845,-5.92602,5.55956,9.21313,0.972914,2.38809,96.214531,69.147539,14.274856
23,194050,871453363,-13,1,26.6368,-6.48714,-4.86709,-25.372,-1.85832,-2.49792,-13,1,10.6131,2.45055,5.3371,-8.83955,-1.19763,1.14036,13,-1,6.44976,4.67292,-1.95026,-3.99356,-0.723809,-0.395376,13,-1,21.0632,3.70314,-2.5363,-20.5791,-2.22761,-0.600524,26.526987,10.061092,8.014859
25,194051,6362525,13,-1,48.7852,2.99041,23.6907,-42.5417,-1.34146,1.44523,-13,1,32.0198,-10.988,13.3278,-26.9609,-1.22805,2.26027,11,-1,62.1973,20.8954,-27.4431,-51.7568,-1.19505,-0.920033,-11,1,29.7834,-12.8219,1.43376,26.8439,1.47912,3.03023,144.289307,84.250397,16.263635
28,194076,340846024,11,-1,41.8416,38.2903,-2.22056,-16.7225,-0.423248,-0.057928,-11,1,35.1455,-31.0518,9.26605,13.6062,0.40843,2.8516,-11,1,64.5332,-1.41944,-25.9844,59.0536,1.55796,-1.62537,11,-1,23.7936,-14.0577,19.1661,1.08521,0.045641,2.20363,154.948998,85.841109,20.364819
